course,institution,category
Diploma in Freelance Journalism,Intraglobal Training Institute - Nairobi Campus,diploma
Diploma in Freight Management,Mombasa Aviation Training Institute - Mombasa,diploma
Diploma in Freight Management,Kenya Coast National Polytechnic,diploma
Diploma in French,Maseno University - Main Campus,diploma
Diploma in French,Regional Center of Management - CBD,diploma
Diploma in Front Office & Administration,Unity College of Professional Studies - Buruburu Campus,diploma
Diploma in Front Office & Administration,Unity College of Professional Studies - Town Campus,diploma
Diploma in Front Office & Administration,United Africa College - Main Campus,diploma
Diploma in Front Office & Administration,Pioneer's Training Institute - Buru Buru Campus,diploma
Diploma in Front Office & Administration,Amboseli Institute of Hospitality and Technology - Thika,diploma
Diploma in Front Office & Administration,Mombasa Aviation Training Institute - Mombasa,diploma
Diploma in Front office and Guest Relations,Amboseli Institute of Hospitality and Technology - Thika,diploma
Diploma in Front Office Management,Kenya Christian Industrial Training Institute - Eastleigh Campus,diploma
Diploma in Front Office Management,Graffins College - Westlands Campus,diploma
Diploma in Front Office Management,Graffins College - Moi Avenue Campus,diploma
Diploma in Front Office Operations and Administration,The East African University - Kitengela Campus,diploma
Diploma in Front Office Operations and Administration,East African Institute of Certified Studies - EAICS,diploma
Diploma in Front Office Operations and Administration,Riccatti Business College of East Africa - Main Institution,diploma
Diploma in Front Office Operations and Administration,Coast Institute of Technology - Voi,diploma
Diploma in Front Office Operations and Administration,Skynet Business College - Nairobi Campus,diploma
Diploma in Front Office Operations and Customer Care Management,Technical University of Mombasa - Main Campus,diploma
Diploma in Front Office Operations and Customer Care Management,Kenya Institute of Professional Studies - Travin Campus,diploma
Diploma in Front Office Operations and Customer Care Management,Jodan College of Technology - Thika Main Campus,diploma
Diploma in Furniture Technology and Interior Design,Dedan Kimathi University of Technology - Nyeri (Main campus),diploma
Diploma in Gender and Development Studies,East Africa Vision Institute - Main Campus- Eldoret,diploma
Diploma in Gender and Development Studies,Kenya Institute of Development Studies - Tumaini House - Main Campus,diploma
Diploma in Gender and Development Studies,Kenya Institute of Development Studies - Naivasha Campus - Oserian Estate,diploma
Diploma in Gender and Human Rights,Kisii University - Kisii Town Campus,diploma
Diploma in Gender and Human Rights,Kisii University - Nyamira Campus,diploma
Diploma in Gender and Women Empowerment,Kenya Institute of Social Work and Community Development - NACICO Campus,diploma
Diploma in General Agriculture,Rift Valley Institute of Science and Technology - Main Campus,diploma
Diploma in General Agriculture,Bunyala Technical and Vocational College,diploma
Diploma in General Agriculture,Butere Technical And Vocational College,diploma
Diploma in General Agriculture,David M Wambuli Technical Vocational College,diploma
Diploma in General Agriculture,The Eldoret National Polytechnic,diploma
Diploma in General Agriculture,Emining Technical Training Institute,diploma
Diploma in General Agriculture,Emurua Dikirr Technical Training Institute,diploma
Diploma in General Agriculture,Friends National Polytechnic Kaimosi,diploma
Diploma in General Agriculture,Katine Technical Training Institute,diploma
Diploma In General Agriculture Module 1,Chuka Technical and Vocational College,diploma
Diploma In General Agriculture Module 1,Eldama Ravine Technical And Vocational College,diploma
Diploma in Geo-Informatics,St. Paul's University - Limuru Campus,diploma
Diploma in Geological Science,Technical University of Kenya - Main Campus,diploma
Diploma in Geophysical Exploration Technology,Kabete National Polytechnic,diploma
Diploma in German,Nairobi Aviation College - Kahawa House Branch,diploma
Diploma in German,Regional Center of Management - CBD,diploma
Diploma in Gerontology (Study of Aging),Kenyatta University - KU/KIST,diploma
Diploma in Governance and Leadership,Jomo Kenyatta University of Agriculture and Technology - Westlands Campus (Former Nairobi Campus),diploma
Diploma in Graphic Design,Technical University of Mombasa - Main Campus,diploma
Diploma in Graphic Design,Nairobi Institute of Technology - Main Campus,diploma
Diploma in Graphic Design,Gatundu South Technical and Vocational College,diploma
Diploma in Graphic Design and Communication,Technical University of Kenya - Main Campus,diploma
Diploma in Guidance & Counseling,Aldai Technical Training Institute,diploma
Diploma in Guidance and Counseling,Karatina University - Nanyuki Campus,diploma
Diploma in Guidance and Counseling,Chuka University - Main Campus,diploma
Diploma in Guidance and Counseling,Maseno University - Main Campus,diploma
Diploma in Guidance and Counseling,Kenyatta University - Main Campus,diploma
Diploma in Guidance and Counseling,Kenyatta University - Nyeri Campus,diploma
Diploma in Guidance and Counseling,Maasai Mara University - Bomet Campus,diploma
Diploma in Guidance and Counseling,The University of Nairobi - Kikuyu Campus,diploma
Diploma in Guidance and Counseling,The University of Nairobi - Kisumu Campus,diploma
Diploma in Guidance and Counseling,The University of Nairobi - Mombasa Campus,diploma
Diploma in Guidance and Counseling,Kisii University - Nyamira Campus,diploma
Diploma in Guidance and Counseling,Kisii University - Down Town Campus (Ouru Towers),diploma
Diploma in Guidance and Counseling,Kenyatta University - Kitui Campus,diploma
Diploma in Guidance and Counseling,Kenyatta University - Kericho Campus,diploma
Diploma in Guidance and Counseling,Kenyatta University - KU/KIST,diploma
Diploma in Guidance and Counseling,Bungoma Technical Training - Namwacha Campus,diploma
Diploma in Guidance and Counseling,Kenya Institute of Development Studies - Tumaini House - Main Campus,diploma
Diploma in Guidance and Counseling,Kenya Institute of Development Studies - Naivasha Campus - Oserian Estate,diploma
Diploma in Guidance and Counselling,Jodan College of Technology - Thika Main Campus,diploma
Diploma in Guidance and Counselling,The Eldoret National Polytechnic,diploma
Diploma in Hair and Beauty Combined,Nakuru Training Institute - Nakuru,diploma
Diploma in Hair And Beauty Therapy,Katine Technical Training Institute,diploma
Diploma in Hair and Dressing,Hemland College - Thika,diploma
Diploma in Hair Design and Beauty,Unity College of Professional Studies - Buruburu Campus,diploma
Diploma in Hair Dressing,Transafric Accountancy and Management College - Thika Campus,diploma
Diploma in Hair Dressing,Dima College - Hamburg House,diploma
Diploma in Hair Dressing,Kabete National Polytechnic,diploma
Diploma in Hair Dressing,Bumbe Technical Training Institute,diploma
Diploma in Hair Dressing,Bungoma North Technical And Vocational College,diploma
Diploma in Hair Dressing,Bushiangala Technical Training Institute,diploma
Diploma in Hair Dressing,Cherangany Technical And Vocational College,diploma
Diploma in Hair Dressing,David M Wambuli Technical Vocational College,diploma
Diploma in Hair Dressing,The Eldoret National Polytechnic,diploma
Diploma in Hair dressing and Beauty,Jodan College of Technology - Thika Main Campus,diploma
Diploma in Hair Dressing and Beauty Therapy,Gusii Institute of Technology - Kisii,diploma
Diploma in Hair Dressing and Beauty Therapy,Karumo Technical Training Institute,diploma
Diploma In Hairdressing,Century Park College - Machakos,diploma
Diploma In Hairdressing,Nakuru Training Institute - Nakuru,diploma
Diploma In Hairdressing,Thika College of Banking and Accountancy - Nairobi Campus,diploma
Diploma In Hairdressing,Thika College of Banking and Accountancy - Thika Campus,diploma
Diploma In Hairdressing,Gatundu South Technical and Vocational College,diploma
Diploma In Hairdressing,Jeremiah Nyagah National Polytechnic,diploma
Diploma In Hairdressing,Kamukunji Technical and Vocational College,diploma
Diploma In Hairdressing,Kasarani Technical and Vocational College,diploma
Diploma In Hairdressing,Kendege Technical and Vocational College,diploma
Diploma in Hairdressing and Beauty Therapy,Rifkins College,diploma
Diploma in Hairdressing and Beauty Therapy Grade,Friends National Polytechnic Kaimosi,diploma
Diploma in Hairdressing Management,Katine Technical Training Institute,diploma
Diploma in Hardware and Networking,St. Paul's University - Limuru Campus,diploma
Diploma in Health and Safety,International Centre of Technology - Thika,diploma
Diploma in Health and Safety,Rifkins College,diploma
Diploma in Health Care Economics,Maseno University - Main Campus,diploma
Diploma in Health Care Economics,Institute of Advanced Technology - Loita Campus,diploma
Diploma in Health Economics,Maseno University - Main Campus,diploma
Diploma in Health Records & Information Technology,Kabete National Polytechnic,diploma
Diploma in Health Records and information Sciences,Kenya Medical Training College - Kitui Campus,diploma
Diploma in Health Records and information Technology,Kenya Medical Training College - Eldoret Campus,diploma
Diploma in Health Records and information Technology,Kenya Medical Training College - Embu Campus,diploma
Diploma in Health Records and information Technology,Kenya Medical Training College - Kakamega Campus,diploma
Diploma in Health Records and information Technology,Kenya Medical Training College - Kitui Campus,diploma
Diploma in Health Records and information Technology,Kenya Medical Training College - Kisumu Campus,diploma
Diploma in Health Records and information Technology,Kenya Medical Training College - Kilifi Campus,diploma
Diploma in Health Records and information Technology,Royal College of Science and Technology - Ruiru Campus,diploma
Diploma in Health Records and information Technology,Thika School of Medical and Health Sciences - Kisumu Campus,diploma
Diploma in Health Records and information Technology,Thika School of Medical and Health Sciences - Kitui Campus,diploma
Diploma in Health Records and information Technology,Kenya Medical Training College - Karbanet Campus,diploma
Diploma in Health Records and information Technology,Thika School of Medical and Health Sciences - Mombasa Campus,diploma
Diploma in Health Records and information Technology,Thika School of Medical and Health Sciences - Nairobi,diploma
Diploma in Health Records and information Technology,The Catholic University of Eastern Africa - Gaba Campus - Eldoret,diploma
Diploma in Health Records and information Technology,The Catholic University of Eastern Africa - Kisumu Campus,diploma
Diploma in Health Records and information Technology,The Catholic University of Eastern Africa - Main Campus - Lang'ata,diploma
Diploma in Health Records and information Technology,The Catholic University of Eastern Africa - Nairobi City Campus,diploma
Diploma in Health Records and information Technology,The Eldoret National Polytechnic,diploma
Diploma in Heritage and Museum Studies,Pwani University - Main Campus,diploma
Diploma in HIV and AIDS,Godoma Technical Training Institute,diploma
Diploma in HIV and AIDS Determinants,Maseno University - Main Campus,diploma
Diploma in HIV Management,International Centre of Technology - Thika,diploma
Diploma in HIV/AIDS Counselling and Management,Jomo Kenyatta University of Agriculture and Technology - Juja (Main) Campus,diploma
Diploma in HIV/AIDS Counselling and Management,Jomo Kenyatta University of Agriculture and Technology - Nakuru Center,diploma
Diploma in HIV/AIDS Counselling and Management,Jomo Kenyatta University of Agriculture and Technology - Arusha Center,diploma
Diploma in HIV/AIDS Counselling and Management,Kenya Institute of Professional Studies - Mitihani House Campus,diploma
Diploma in HIV/AIDS Counselling and Management,Beam International Training Centre - Development house Campus,diploma
Diploma in HIV/AIDS Counselling and Management,Beam International Training Centre - Jasho House Campus,diploma
Diploma in HIV/AIDS Counselling and Management,Beam International Training Centre - Kisii Campus,diploma
Diploma in HIV/AIDS Counselling and Management,Beam International Training Centre - Kitengela Campus,diploma
Diploma in HIV/AIDS Management,Mount Kenya University - Main Campus,diploma
Diploma in HIV/AIDS Management,Jomo Kenyatta University of Agriculture and Technology - Mombasa Center,diploma
Diploma in HIV/AIDS Management,Jomo Kenyatta University of Agriculture and Technology - Kitale Centre,diploma
Diploma in HIV/AIDS Management,Jodan College of Technology - Thika Main Campus,diploma
Diploma in HIV/AIDS Management,Pioneer's Training Institute - Buru Buru Campus,diploma
Diploma in HIV/AIDS Management,The Catholic University of Eastern Africa - Gaba Campus - Eldoret,diploma
Diploma in HIV/AIDS Management,The Catholic University of Eastern Africa - Kisumu Campus,diploma
Diploma in HIV/AIDS Management,The Catholic University of Eastern Africa - Main Campus - Lang'ata,diploma
Diploma in HIV/AIDS Management,The Catholic University of Eastern Africa - Nairobi City Campus,diploma
Diploma in Hiv/Aids Management and Counseling (Dhiv),Kenyatta University - Arusha Campus,diploma
Diploma in Hiv/Aids Management and Counseling (Dhiv),Jomo Kenyatta University of Agriculture and Technology - Kitale Centre,diploma
Diploma in Hiv/Aids Management and Counseling (Dhiv),East African Institute of Certified Studies - EAICS,diploma
Diploma in HIV/AIDS Management and Counselling,Jomo Kenyatta University of Agriculture and Technology - Mombasa Center,diploma
Diploma in Homecare Management,Kabete National Polytechnic,diploma
Diploma in Horticulture,Kenya Methodist University - Main Campus - Meru,diploma
Diploma in Horticulture,Mount Kenya University - Main Campus,diploma
Diploma in Horticulture,Karatina University - Main Campus - Kagochi,diploma
Diploma in Horticulture,Karatina University - Nanyuki Campus,diploma
Diploma in Horticulture,Karatina University - Karatina Town Campus,diploma
Diploma in Horticulture,Pwani University - Main Campus,diploma
Diploma in Horticulture,Maasai Mara University - Main Campus,diploma
Diploma in Horticulture,South Eastern Kenya University - Machakos Town Campus,diploma
Diploma in Horticulture,Bukura Agricultural College,diploma
Diploma in Horticulture,Egerton University - Njoro Campus,diploma
Diploma in Horticulture Nursery Management,Belgut Technical Training Institute,diploma
Diploma in Horticulture Nursery Manager,Mukurwe-ini Technical Training Institute,diploma
Diploma in Horticulture Produce Processing Management,Belgut Technical Training Institute,diploma
Diploma in Horticulture Production,Emsos Technical and Vocational College,diploma
Diploma in Hospitality and Management,Kenyatta University - Kitui Campus,diploma
Diploma in Hospitality and Tourism,Kenya Methodist University - Main Campus - Meru,diploma
Diploma in Hospitality and Tourism,Kenya Methodist University - Nyeri Campus,diploma
Diploma in Hospitality and Tourism,Kenya Methodist University - Nakuru Campus,diploma
Diploma in Hospitality and Tourism,Kenya Methodist University - Nairobi Campus,diploma
Diploma in Hospitality and Tourism,Kenya Methodist University - Mombasa Campus,diploma
Diploma in Hospitality and Tourism Management,Pwani University - Main Campus,diploma
Diploma in Hospitality and Tourism Management,Kenyatta University - KU/KIST,diploma
Diploma in Hospitality Management,Mount Kenya University - Main Campus,diploma
Diploma in Hospitality Management,Maseno University - Main Campus,diploma
Diploma in Hospitality Management,Nairobi Institute of Business Studies - Thika Road Campus,diploma
Diploma in Hospitality Management,Zetech University - Main Campus Thika Road,diploma
Diploma in Hospitality Management,Zetech University - StanBank Campus,diploma
Diploma in Hospitality Management,Kirinyaga University College - Main Campus,diploma
Diploma in Hospitality Management,Kenyatta University - Main Campus,diploma
Diploma in Hospitality Management,Kenyatta University - Nyeri Campus,diploma
Diploma in Hospitality Management,Kenyatta University - Mombasa Campus,diploma
Diploma in Hospitality Management,Kenyatta University - Kericho Campus,diploma
Diploma in Hospitality Management,Kenyatta University - KU/KIST,diploma
Diploma in Hospitality Management,Muranga University College - Muranga Town Campus,diploma
Diploma in Hospitality Management,Machakos University College - Main Campus,diploma
Diploma in Hospitality Management,East African Institute of Certified Studies - EAICS,diploma
Diploma in Hospitality Management,Riccatti Business College of East Africa - Main Institution,diploma
Diploma in Hospitality Management,Skynet Business College - Nairobi Campus,diploma
Diploma in Hospitality Management,Amboseli Institute of Hospitality and Technology - Thika,diploma
Diploma in Hospitality Management,Rifkins College,diploma
Diploma in Hospitality Management Subjects,Starnet College - Starnet College Nairobi,diploma
Diploma in Hotel & Restaurant Management,Alupe University,diploma
Diploma in Hotel and Catering Management,Unity College of Professional Studies - Buruburu Campus,diploma
Diploma in Hotel and Catering Management,Hemland College - Thika,diploma
Diploma in Hotel and Catering Management,United Africa College - Main Campus,diploma
Diploma in Hotel and Catering Management,Pioneer's Training Institute - Buru Buru Campus,diploma
Diploma in Hotel and Catering Management,Mombasa Aviation Training Institute - Mombasa,diploma
Diploma in Hotel and Catering Management,Jomo Kenyatta University of Agriculture and Technology - Westlands Campus (Former Nairobi Campus),diploma
Diploma in Hotel and Catering Management,Beam International Training Centre - Development house Campus,diploma
Diploma in Hotel and Catering Management,Beam International Training Centre - Jasho House Campus,diploma
Diploma in Hotel and Catering Management,Beam International Training Centre - Kisii Campus,diploma
Diploma in Hotel and Catering Management,Beam International Training Centre - Kitengela Campus,diploma
Diploma in Hotel and Catering Management,Thika Institute of Business Studies - Highway Campus,diploma
Diploma in Hotel and Catering Management,Thika Institute of Business Studies - Thika Town Campus,diploma
Diploma in Hotel and Catering Management,Dima College - Hamburg House,diploma
Diploma in Hotel and Hospitality Management,Karatina University - Main Campus - Kagochi,diploma
Diploma in Hotel and Hospitality Management,Karatina University - Nanyuki Campus,diploma
Diploma in Hotel and Hospitality Management,Karatina University - Karatina Town Campus,diploma
Diploma in Hotel and institutional Management,Technical University of Mombasa - Main Campus,diploma
Diploma in Hotel and institutional Management,Technical University of Mombasa - Ukunda Satellite Campus,diploma
Diploma in Hotel and Restaurant Management,Moi University - Coast Campus,diploma
Diploma in Hotel and Restaurant Management,University of Eldoret - Eldoret Town Campus,diploma
Diploma in Hotel and Restaurant Management,United States International University - USIU,diploma
Diploma in Hotel and Restaurant Management,Rongo University College - Main Campus - Kitere Hill,diploma
Diploma in Hotel and Restaurant Management,Amboseli Institute of Hospitality and Technology - Thika,diploma
Diploma in Hotel and Tourism Management,The Presbyterian University of East Africa - Main Campus - Kikuyu,diploma
Diploma in Hotel and Tourism Management,KCA University - Ruaraka Campus,diploma
Diploma in Hotel Catering Management,Regional Institute of Business Management - Nairobi,diploma
Diploma in Hotel Front Office Operation and Management,Skynet Business College - Nairobi Campus,diploma
Diploma in Hotel Management,Gretsa University - Thika Campus,diploma
Diploma in Hotel Operations,Amboseli Institute of Hospitality and Technology - Thika,diploma
Diploma in Hotels and Restaurant Management,Maasai Mara University - Main Campus,diploma
Diploma in Hotels and Restaurant Management,University of Eldoret - Main Campus,diploma
Diploma in Hotels and Restaurant Management,Moi University - Main Campus,diploma
Diploma in House Keeping And Accomondation,Kaiboi National Polytechnic,diploma
Diploma in House Keeping Management,East African Institute of Certified Studies - EAICS,diploma
Diploma in House Keeping Management,Intraglobal Training Institute - Nairobi Campus,diploma
Diploma in Housekeeping & Accomodation Management,Kabete National Polytechnic,diploma
Diploma in Housekeeping and Accommodation,Unity College of Professional Studies - Buruburu Campus,diploma
Diploma in Housekeeping and Accommodation,Bumbe Technical Training Institute,diploma
Diploma in Housekeeping and Accommodation,Jeremiah Nyagah National Polytechnic,diploma
Diploma in Housekeeping and Accommodation Studies,Riccatti Business College of East Africa - Main Institution,diploma
Diploma in Housekeeping and Accommodation Studies,Thika College of Banking and Accountancy - Thika Campus,diploma
Diploma in Housekeeping and Accommodation Studies,Thika College of Banking and Accountancy - Nairobi Campus,diploma
Diploma in Housekeeping and Accommodation Studies,Dima College - Hamburg House,diploma
Diploma in Housekeeping and Laundry,Kenya Coast National Polytechnic,diploma
Diploma in Housekeeping and Laundry Management,Riccatti Business College of East Africa - Main Institution,diploma
Diploma in Housekeeping and Laundry Management,Kenya Technical Teachers College - Gigiri,diploma
Diploma in Human Bio-sciences (Biochemistry),Kirinyaga University College - Main Campus,diploma
Diploma in Human Bio-sciences (Biotechnology),Kirinyaga University College - Main Campus,diploma
Diploma in Human Biosciences,Kirinyaga University College - Main Campus,diploma
Diploma in Human Nutrition & Dietetics,Masinde Muliro University of Science and Technology - Main Campus,diploma
Diploma in Human Nutrition & Dietetics,Jodan College of Technology - Thika Main Campus,diploma
Diploma in Human Resource,Bungoma North Technical And Vocational College,diploma
Diploma in Human resource Development,Zetech University - Agriculture House Campus,diploma
Diploma in Human resource Development,East African Institute of Certified Studies - EAICS,diploma
Diploma in Human resource Development,Nkabune Technical Training Institute - Town Campus,diploma
Diploma in Human resource Development,Royal College of Science and Technology - Ruiru Campus,diploma
Diploma in Human resource Development,Skynet Business College - Nairobi Campus,diploma
Diploma in Human resource Development,East Africa School of Management - City Campus,diploma
Diploma in Human Resource Management (Level 4),Zetech University - Agriculture House Campus,diploma
Diploma in Human Resource Management (Level 6) Graduate,Zetech University - Agriculture House Campus,diploma
"Diploma in Human Resource Management (Module I,II,III)",Gusii Institute of Technology - Kisii,diploma
"Diploma in Human Resource Management (Module I,II,III)",Rift Valley Technical Training Institute - Eldoret,diploma
"Diploma in Human Resource Management (Module I,II,III)",Sagana Training Technical Institute - Sagana Training Technical Institute,diploma
Diploma in Human Resource Management and Industrial Relations,Technical University of Mombasa - Main Campus,diploma
Diploma in Human Resource Management and Industrial Relations,Technical University of Mombasa - Ukunda Satellite Campus,diploma
Diploma in Human Resource Management and Industrial Relations,Technical University of Mombasa - Lamu Satellite Campus,diploma
Diploma in Human Resource Management and Industrial Relations,St. Paul's University - Limuru Campus,diploma
Diploma in Human Resource Management and Industrial Relations,Technical University of Mombasa - Kwale Satellite Campus,diploma
Diploma in Human Resource Management Level 4 and 5,Nairobi Institute of Business Studies - Thika Road Campus,diploma
Diploma in Human Resource Management Level 6,Nairobi Institute of Business Studies - Thika Road Campus,diploma
Diploma in Human Resource Management Module II,Dima College - Hamburg House,diploma
Diploma in Human Resource Management Module III,Dima College - Hamburg House,diploma
Diploma in Human Resource Manager,Bushiangala Technical Training Institute,diploma
Diploma in Human Resource Mgt (3 Modules),Kenya Christian Industrial Training Institute - Eastleigh Campus,diploma
Diploma in Human Resources,The East African University - Kitengela Campus,diploma
Diploma in Human Resources Development,Sacred Lake Institute of Technology - Meru,diploma
Diploma in Human Resources Development,Amboseli Institute of Hospitality and Technology - Thika,diploma
Diploma in Human Resources Management,Godoma Technical Training Institute,diploma
Diploma in Human Resourse Management,Bumbe Technical Training Institute,diploma
Diploma in Human Resourse Management,Mukurwe-ini Technical Training Institute,diploma
Diploma in IATA Cargo Marketing,Mombasa Aviation Training Institute - Mombasa,diploma
Diploma in IATA/FIATA Cargo Rating,Mombasa Aviation Training Institute - Mombasa,diploma
Diploma in ICT,Kenya Christian Industrial Training Institute - Eastleigh Campus,diploma
Diploma in ICT,Laikipia University - Maralal Campus,diploma
Diploma in ICT,Sacred Lake Institute of Technology - Meru,diploma
Diploma in ICT,Skynet Business College - Nairobi Campus,diploma
Diploma in ICT,Nairobi Technical Training Institute - Nairobi,diploma
Diploma in ICT,Thika College of Banking and Accountancy - Thika Campus,diploma
Diploma in ICT,Thika College of Banking and Accountancy - Nairobi Campus,diploma
Diploma in ICT,Kenya Industrial Training Institute - Nakuru - Solai Road,diploma
Diploma in ICT,College of Human Resource Management - Ufundi Co-op Plaza,diploma
Diploma in ICT,Butere Technical And Vocational College,diploma
Diploma in ICT Management (DICTM),Institute of Advanced Technology - Hurlingham Centre,diploma
Diploma in ICT Management (DICTM),Institute of Advanced Technology - Loita Campus,diploma
Diploma in ICT Systems Support,East African Institute of Certified Studies - EAICS,diploma
Diploma in ICT Technian,Emsos Technical and Vocational College,diploma
Diploma in ICT Technician,Ahmed Shahame Mwidani Technical Training Institute,diploma
Diploma in ICT Technician,Kiminini Technical and Vocational Training College,diploma
Diploma in ICT Technician,Bumbe Technical Training Institute,diploma
Diploma in ICT Technician,Chamasiri Technical and Vocational College,diploma
Diploma in ICT Technician,Chepalungu Technical Training Institute,diploma
Diploma in ICT Technician,Friends National Polytechnic Kaimosi,diploma
Diploma in ICT Technician,Gatundu South Technical and Vocational College,diploma
Diploma in ICT Technician,Godoma Technical Training Institute,diploma
Diploma in ICT Technician,Ikutha Technical and Vocational College,diploma
Diploma in ICT Technician,Jeremiah Nyagah National Polytechnic,diploma
Diploma in ICT Technician,Kaiboi National Polytechnic,diploma
Diploma in ICT Technician,Kajiado East Technical and Vocational College,diploma
Diploma in ICT Technician,Karen Technical Training Institute For The Deaf,diploma
Diploma in ICT Technician,Karumo Technical Training Institute,diploma
Diploma in ICT Technician,Katine Technical Training Institute,diploma
Diploma in Inclusive Education,Kenya Institute of Special Education - Nairobi,diploma
Diploma in Industrial Automation and Robotics,Kabete National Polytechnic,diploma
Diploma in Industrial Chemical Processes,Kabete National Polytechnic,diploma
Diploma In Industrial Chemistry,The Eldoret National Polytechnic,diploma
Diploma in Industrial Controls Installations,Kenya Coast National Polytechnic,diploma
Diploma in Industrial Microbiology and Biotechnology,Technical University of Mombasa - Main Campus,diploma
Diploma in information and Communication Technology,Laikipia University - Maralal Campus,diploma
Diploma in information and Communication Technology,Laikipia University - Nyahururu Campus,diploma
Diploma in information and Communication Technology,Laikipia University - Naivasha Campus,diploma
Diploma in information and Communication Technology,St. Paul's University - Limuru Campus,diploma
Diploma in information and Communication Technology,International University of Professional Studies - Main Campus,diploma
Diploma in information and Communication Technology,Scott Christian University - Main Campus - Machakos,diploma
Diploma in information and Communication Technology,Technical University of Mombasa - Main Campus,diploma
Diploma in information and Communication Technology,Technical University of Mombasa - Ukunda Satellite Campus,diploma
Diploma in information and Communication Technology,Technical University of Mombasa - Lamu Satellite Campus,diploma
Diploma in information and Communication Technology,Maseno University - Main Campus,diploma
Diploma in information and Communication Technology,Nairobi Institute of Business Studies - Thika Road Campus,diploma
Diploma in information and Communication Technology,Umma University - Kajiado Campus,diploma
Diploma in information and Communication Technology,Pan Africa Christian (PAC) University - Main Campus - Roysambu,diploma
Diploma in information and Communication Technology,Nairobi Aviation College - Kahawa House Branch,diploma
Diploma in information and Communication Technology,Rift Valley Institute of Science and Technology - Main Campus,diploma
Diploma in information and Communication Technology,Rift Valley Institute of Science and Technology - Town Campus,diploma
Diploma in information and Communication Technology,Technical University of Mombasa - Kwale Satellite Campus,diploma
Diploma in information and Communication Technology,Rongo University College - Main Campus - Kitere Hill,diploma
Diploma in information and Communication Technology,Century Park College - Machakos,diploma
Diploma in information and Communication Technology,East Africa School of Management - City Campus,diploma
Diploma in information and Communication Technology,Rifkins College,diploma
Diploma in Information and Communication Technology (DICT),Kakrao Technical and Vocational College,diploma
Diploma in Information and Library Service,Skynet Business College - Nairobi Campus,diploma
Diploma in Information Communication and Technology (DICT),Chanzeywe Technical And Vocational College,diploma
Diploma in Information Communication Technology,Kabete National Polytechnic,diploma
Diploma in Information Communication Technology,Alupe University,diploma
Diploma in Information Communication Technology,Baringo Technical College,diploma
Diploma in Information Communication Technology,Bomet Central Technical and Vocational College,diploma
Diploma in Information Communication Technology,Bondo Technical Training Institute,diploma
Diploma in Information Communication Technology,Borabu Technical Training Institute,diploma
Diploma in Information Communication Technology,Bukura Agricultural College,diploma
Diploma in Information Communication Technology,Bungoma North Technical And Vocational College,diploma
Diploma in Information Communication Technology,Bunyala Technical and Vocational College,diploma
Diploma in Information Communication Technology,Chuka Technical and Vocational College,diploma
Diploma in Information Communication Technology,The Eldoret National Polytechnic,diploma
Diploma in Information Communication Technology,Emining Technical Training Institute,diploma
Diploma in Information Communication Technology,Friends National Polytechnic Kaimosi,diploma
Diploma in Information Communication Technology,Gilgil Technical and Vocational College,diploma
Diploma in Information Communication Technology,Godoma Technical Training Institute,diploma
Diploma in Information Communication Technology,Heroes Technical and Vocational College,diploma
Diploma in Information Communication Technology,Katine Technical Training Institute,diploma
Diploma in Information Communication Technology,Kenya Coast National Polytechnic,diploma
Diploma in Information Communication Technology (DICT),David M Wambuli Technical Vocational College,diploma
Diploma in Information Communication Technology (DICT),Ebukanga Technical And Vocational College,diploma
Diploma in Information Communication Technology (DICT),Emgwen Technical and Vocational College,diploma
Diploma in Information Communication Technology (DICT),Emurua Dikirr Technical Training Institute,diploma
Diploma in Information Communication Technology (DICT),Endebess Technical Training Institute,diploma
Diploma in Information Communication Technology (DICT),Gatanga Technical and Vocational College,diploma
Diploma in Information Communication Technology (DICT),JKUAT TVET,diploma
Diploma in Information Communication Technology (DICT),Kaiboi National Polytechnic,diploma
Diploma in Information Communication Technology (DICT),Kajiado East Technical and Vocational College,diploma
Diploma in Information Communication Technology (ICT),Cherangany Technical And Vocational College,diploma
Diploma in Information Communication Technology (ICT),Kandara Technical and Vocational College,diploma
Diploma in Information Communication Technology (ICT) Module 2,Dima College - Hamburg House,diploma
Diploma in Information Communication Technology (ICT) Module 3,Dima College - Hamburg House,diploma
Diploma in Information Communication Technology (ICTT) Level 2,Dima College - Hamburg House,diploma
Diploma in Information Communication Technology Module 1,Eldama Ravine Technical And Vocational College,diploma
Diploma in Information Communication Technology Technician,Mukurwe-ini Technical Training Institute,diploma
Diploma in Information Communication Technology Technician,Kamukunji Technical and Vocational College,diploma
Diploma in information communication Technology Technician (ICTT),Century Park College - Machakos,diploma
Diploma in information communication Technology Technician (ICTT),Esmart College - Kikuyu Campus,diploma
Diploma in information communication Technology Technician (ICTT),Coast Institute of Technology - Voi,diploma
Diploma in information communication Technology Technician (ICTT),Kenya Institute of Software Engineering. - Thika,diploma
Diploma in Information Communication Technology(ICT),Kiambu Institute of Science and Technology - Main Campus,diploma
Diploma in Information Communication Technology(ICT),Technical University of Mombasa - Main Campus,diploma
Diploma in Information Communication Technology(ICT),Laikipia University - Nyahururu Campus,diploma
Diploma in Information Communication Technology(ICT),Machakos University College - Main Campus,diploma
Diploma in Information Communication Technology(ICT),Scott Christian University - Main Campus - Machakos,diploma
Diploma in Information Communication Technology(ICT),Rift Valley Institute of Science and Technology - Main Campus,diploma
