course,institution,category
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Gretsa University - Thika Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Kabarak University - Nairobi City,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Multimedia University of Kenya - Mbagathi Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Pwani University - Main Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Chuka University - Main Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",International University of Professional Studies - Main Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",South Eastern Kenya University - Main Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",South Eastern Kenya University - Tala Town Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",South Eastern Kenya University - Mtito Andei Town Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",South Eastern Kenya University - Kitui Town Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Masinde Muliro University of Science and Technology - Main Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Kenyatta University - Main Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Kenyatta University - Nyeri Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",South Eastern Kenya University - Machakos Town Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Technical University of Mombasa - Main Campus,diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Jomo Kenyatta University of Agriculture and Technology - Westlands Campus (Former Nairobi Campus),diploma
"Bachelor of Commerce (BCom, B.COM, BComm, B.COMM)",Jomo Kenyatta University of Agriculture and Technology - Nakuru Center,diploma
